"","calBP","PrDens"
"176",16824.5,0.000484417768174714
"177",16823.5,0.000482554822376581
"178",16822.5,0.000480710407080093
"179",16821.5,0.000478884422595794
"180",16820.5,0.000477076769414503
"181",16819.5,0.000475287348209201
"182",16818.5,0.000473517594506451
"183",16817.5,0.000471767414079706
"184",16816.5,0.000470036712793638
"185",16815.5,0.000468325396608634
"186",16814.5,0.000466633371585233
"187",16813.5,0.000464960543888484
"188",16812.5,0.000463306819792251
"189",16811.5,0.00046167210568344
"190",16810.5,0.000460056308066173
"191",16809.5,0.000458509232040358
"192",16808.5,0.000456977497574942
"193",16807.5,0.00045546098962254
"194",16806.5,0.000453959593728575
"195",16805.5,0.000452473196031477
"196",16804.5,0.000451001683262759
"197",16803.5,0.000449544942746987
"198",16802.5,0.000448102862401637
"199",16801.5,0.000446675330736849
